Run-time,Adjusted Rand-Index,Completeness,Homogeneity,V-Measure Score,Silhouette Coefficient
0.023983478546142578,0.8969604955386551,0.897532276573171,0.8965665693971809,0.8970491630802236,0.5822389638536473
0.01563119888305664,0.7092867807894478,0.8773739052750805,0.8041423982249016,0.8391635036298158,0.624957640274685
0.031246423721313477,0.8974009965085442,0.8979713469637384,0.8969852445430684,0.8974780248839047,0.5809627685467285
0.015623331069946289,0.896968758177071,0.8974752372350778,0.896528098261681,0.8970014177287119,0.5939006409415467
0.031247377395629883,0.7099035319427638,0.8786301601014455,0.8055379507431346,0.8404979693794306,0.6195878545427693
Run-time,Adjusted Rand-Index,Completeness,Homogeneity,V-Measure Score,Silhouette Coefficient
0.0,0.7092772754491282,0.8773591111934735,0.8041531552932825,0.8391625938782274,0.6164838575941699
0.0156252384185791,0.8971738718337474,0.8976619291027185,0.8967053653563766,0.8971833922610681,0.5912097501469245
0.015627622604370117,0.8971877152226504,0.8978422929771084,0.8968468519352591,0.8973442963908633,0.5839570095006709
0.015623092651367188,0.709427742931021,0.8776583554361574,0.8044930569523847,0.8394845411948557,0.623041463003281
0.015618324279785156,0.896968758177071,0.8974752372350778,0.896528098261681,0.8970014177287119,0.5968706913721438
Run-time,Adjusted Rand-Index,Completeness,Homogeneity,V-Measure Score,Silhouette Coefficient
0.015631675720214844,0.8971821553799172,0.8976051877916016,0.8966670836710713,0.8971358904956063,0.5919732721616658
0.015630006790161133,0.8967615670399984,0.8975850841061725,0.8965708073478406,0.8970776590302519,0.5858079857039922
0.015620946884155273,0.896968758177071,0.897475237235078,0.8965280982616813,0.8970014177287122,0.6059633550628403
0.015625715255737305,0.8974009965085442,0.8979713469637385,0.8969852445430684,0.8974780248839047,0.5975823838549092
0.015619754791259766,0.896968758177071,0.8974752372350779,0.8965280982616811,0.897001417728712,0.5886435605702512
Run-time,Adjusted Rand-Index,Completeness,Homogeneity,V-Measure Score,Silhouette Coefficient
0.0,0.8971821553799172,0.8976051877916016,0.8966670836710713,0.8971358904956063,0.5899910500304437
0.015624761581420898,0.7094285174631101,0.8776602894478783,0.8044908865902373,0.8394842442710027,0.6127156863652378
0.01562643051147461,0.8971958044493448,0.8977832427602354,0.8968067714053277,0.8972947414242468,0.5754325252618363
0.015617847442626953,0.7099035319427638,0.8786301601014455,0.8055379507431346,0.8404979693794306,0.6123671484347747
0.015623092651367188,0.709369465363958,0.8776339961622298,0.8043036816282845,0.8393702853041658,0.6129089388704095
Run-time,Adjusted Rand-Index,Completeness,Homogeneity,V-Measure Score,Silhouette Coefficient
0.015626192092895508,0.8971738718337474,0.8976619291027184,0.8967053653563766,0.8971833922610681,0.5798106554076109
0.01561880111694336,0.7092806801297443,0.877364666865356,0.8041488454542374,0.8391627884439173,0.6070015852059221
0.015629291534423828,0.709274400723473,0.8773540380513897,0.8041574745185337,0.8391626250833707,0.6103715070859743
0.015627145767211914,0.7095853884100048,0.8779781872380933,0.8048261658730179,0.839812206152905,0.6104600828454732
0.015619039535522461,0.8972039249124121,0.8977251965186968,0.8967674704559061,0.8972460779166803,0.5705447596297779
